File,Extracted_Entities,Ground_Truth_Entities,True_Positive,True_Negative,False_Positive,False_Negative,Accuracy
es-S0211-69952016000600552-1,"['immunoglobulins', 'phosphorus', 'calcium', 'diazepam', 'levetiracetam', 'mg', 'potassium', 'sodium', 'st', 'calcium carbonate', 'calcitriol', 'sodium bicarbonate', 'magnesium', 'vitamin d', 'oxygen', 'valproic acid', 'p', 'bicarbonate']","['levetiracetam', 'calcitriol', 'potassium', 'valproic acid', 'calcium carbonate', 'sodium bicarbonate', 'magnesium', 'diazepam']",8,0,10,0,0.4444444444444444
S0004-06142006000700012-1,"['mg', 'albendazole']",['albendazole'],1,0,1,0,0.5
es-S1130-63432014000400016-1,"['prednisone', 'etanercept', 'calcium folinate', 'methotrexate', 'canakinumab', 'mg', 'anakinra']","['prednisone', 'etanercept', 'calcium folinate', 'methotrexate', 'canakinumab', 'anakinra']",6,0,1,0,0.8571428571428571
S0004-06142006000900015-1,"['interferon', 'intron a']","['interferon', 'intron a']",2,0,0,0,1.0
es-S0378-48352006000600006-1,"['leuprorelin', 'bicalutamide', 'megestrol acetate']","['leuprorelin', 'bicalutamide', 'megestrol acetate']",3,0,0,0,1.0
es-S0210-48062003000900013-1,['atrasentan'],['atrasentan'],1,0,0,0,1.0
es-S1130-63432015000100008-1,"['pravastatin', 'trazodone', 'alendronic acid', 'candesartan', 'hydrochlorothiazide', 'tolvaptan', 'cholecalciferol', 'furosemide', 'mg', 'spironolactone', 'isosorbide mononitrate', 'acetylsalicylic acid', 'atenolol', 'calcium carbonate', 'torasemide', 'sodium', 'sertraline', 'losartan']","['pravastatin', 'trazodone', 'alendronic acid', 'candesartan', 'hydrochlorothiazide', 'tolvaptan', 'cholecalciferol', 'furosemide', 'spironolactone', 'isosorbide mononitrate', 'acetylsalicylic acid', 'atenolol', 'calcium carbonate', 'torasemide', 'sertraline', 'losartan']",16,0,2,0,0.8888888888888888
es-S1698-69462006000100019-1,"['5-fluorouracil', 'cpt11', 'leucovorin', 'oxaliplatin', '5 fluorouracil']","['5 fluorouracil', 'leucovorin', 'cpt11', 'oxaliplatin']",4,0,1,0,0.8
es-S2254-28842014000300010-1,"['vancomycin', 'cloxacillin']","['vancomycin', 'cloxacillin']",2,0,0,0,1.0
es-S0210-48062007000100011-1,"['aspirin', 'enoxaparin', 'streptokinase', 'cocaine', 'mg', 'metoprolol', 'st', 'lovastatin', 'oxygen', 'sildenafil']","['aspirin', 'enoxaparin', 'streptokinase', 'cocaine', 'metoprolol', 'lovastatin', 'oxygen', 'sildenafil']",8,0,2,0,0.8
es-S1139-76322016000400020-1,"['mg', 'amoxicillin']",['amoxicillin'],1,0,1,0,0.5
es-S0365-66912010000300004-1,"['dorzolamide', 'sf6', 'dexamethasone', 'timolol maleate', 'cyclopentolate', 'latanoprost', 'saline']","['dorzolamide', 'sf6', 'dexamethasone', 'timolol maleate', 'cyclopentolate', 'latanoprost', 'saline']",7,0,0,0,1.0
es-S1137-66272009000100014-1,"['omeprazole', 'mg', 'diclofenac', 'aspirin']","['omeprazole', 'diclofenac', 'aspirin']",3,0,1,0,0.75
es-S1887-85712015000100005-1,"['darunavir', 'alcohol', 'emtricitabine', 'tenofovir', 'oxygen', 'iron']","['oxygen', 'darunavir', 'emtricitabine', 'tenofovir']",4,0,2,0,0.6666666666666666
es-S1139-76322015000100010-1,"['prednisone', 'mg']",['prednisone'],1,0,1,0,0.5
S0004-06142006000600012-1,"['dactinomycin', 'vincristine', 'doxorubicin']","['dactinomycin', 'vincristine', 'doxorubicin']",3,0,0,0,1.0
es-S0212-71992005000700008-1,"['hydroaltresone', 'saline solution', 'dopamine', 'mg', 'actocortin', 'k', 'glucose', 'acth', 'o2', 'bicarbonate']","['hydroaltresone', 'saline solution', 'dopamine', 'actocortin', 'glucose', 'o2']",6,0,4,0,0.6
es-S0211-69952012000700028-1,"['prednisone', 'enalapril', 'albumin', 'streptomycin', 'mg', 'procaine', 'levothyroxine', 'chlorthalidone', 'omeprazole']","['prednisone', 'enalapril', 'streptomycin', 'levothyroxine', 'procaine', 'chlorthalidone', 'omeprazole']",7,0,2,0,0.7777777777777778
es-S0365-66912009000300010-1,"['mg', 'prednisone', 'ibuprofen', 'botulinum toxin']","['prednisone', 'ibuprofen', 'botulinum toxin']",3,0,1,0,0.75
es-S0210-48062009000600016-1,"['mg', 'spironolactone', 'albumin']",['spironolactone'],1,0,2,0,0.3333333333333333
es-S1699-695X2014000200007-1,"['omeprazole', 'amoxicillin', 'clarithromycin']","['omeprazole', 'amoxicillin', 'clarithromycin']",3,0,0,0,1.0
es-S1130-14732005000600008-1,['sodium heparin'],['sodium heparin'],1,0,0,0,1.0
es-S0376-78922009000300005-1,"['adrenaline', 'physiological saline']","['adrenaline', 'physiological saline']",2,0,0,0,1.0
es-S1137-66272016000200015-1,"['mg', 'oral iron', 'iron']",['iron'],1,0,2,0,0.3333333333333333
es-S1130-63432013000500014-1,"['fludarabine', 'cyclophosphamide', 'rituximab', 'mg', 'bendamustine']","['rituximab', 'fludarabine', 'cyclophosphamide', 'bendamustine']",4,0,1,0,0.8
es-S1134-80462015000200003-1,"['mg', 'bupivacaine', 'metamizole', 'fentanyl', 'ondansetron', 'physiological saline']","['bupivacaine', 'metamizole', 'fentanyl', 'ondansetron', 'physiological saline']",5,0,1,0,0.8333333333333334
es-S0211-69952014000600016-1,"['sirolimus', 'tacrolimus', 'mg', 'mmf', 'daclizumab', 'cipro-floxacin']","['sirolimus', 'tacrolimus', 'mmf', 'daclizumab', 'cipro-floxacin']",5,0,1,0,0.8333333333333334
S0004-06142006000500011-1,"['mg', 'vinorelbine', 'cisplatin', 'docetaxel']","['vinorelbine', 'cisplatin', 'docetaxel']",3,0,1,0,0.75
es-S0210-56912008000200007-2,"['1.36% glucose', 'mg', 'glucose', 'p', 'noradrenaline']",['noradrenaline'],1,0,4,0,0.2
es-S0210-48062004000400008-1,['interleukin-2'],['interleukin-2'],1,0,0,0,1.0
es-S1137-66272014000300017-1,"['penicillin', 'cloxacillin', 'clindamycin', 'mupirocin', 'amoxicillin-clavulanic acid']","['penicillin', 'cloxacillin', 'clindamycin', 'mupirocin', 'amoxicillin-clavulanic acid']",5,0,0,0,1.0
es-S1134-80462008000200008-1,"['prednisone', 'morphic chloride', 'mg', 'bupivacaine', 'fentanyl']","['morphic chloride', 'bupivacaine', 'prednisone', 'fentanyl']",4,0,1,0,0.8
es-S0211-69952012000700031-1,"['mg', 'prednisone', 'amphotericin b', 'voriconazole']","['prednisone', 'amphotericin b', 'voriconazole']",3,0,1,0,0.75
es-S1137-66272010000400007-1,"['mg', 'zinc', 'enalapril', 'glucose']",['enalapril'],1,0,3,0,0.25
es-S1139-76322017000200010-1,"['methicillin', '2% sodium borate', 'deflazacort', 'cloxacillin', 'clindamycin', 'mg']","['deflazacort', 'cloxacillin', '2% sodium borate', 'clindamycin']",4,0,2,0,0.6666666666666666
es-S0212-71992004000800009-1,"['levofloxacin', 'phenytoin', 'sulphadiazine', 'amphotericin-b', 'cotrimoxazole', 'sodium', 'p', 'folic acid', 'pyrimethamine']","['levofloxacin', 'phenytoin', 'sulphadiazine', 'amphotericin-b', 'cotrimoxazole', 'folic acid', 'pyrimethamine']",7,0,2,0,0.7777777777777778
es-S0211-69952009000500014-1,"['aspirin', 'enalapril', 'albumin', 'mg', 'losartan']","['enalapril', 'aspirin', 'losartan']",3,0,2,0,0.6
es-S0212-71992007000600008-1,"['moxifloxacin', 'levofloxacin', 'amoxicillin', 'prednisone', 'tiotropium bromide', 'gemcitabine', 'salbutamol', 'furosemide', 'mg', 'acetylsalicylic acid', 'cisplatin']","['moxifloxacin', 'levofloxacin', 'amoxicillin', 'prednisone', 'tiotropium bromide', 'gemcitabine', 'salbutamol', 'furosemide', 'acetylsalicylic acid', 'cisplatin']",10,0,1,0,0.9090909090909092
es-S1137-66272014000200013-1,"['mg', 'dacarbazine', 'fotemustine', 'ipilimumab']","['fotemustine', 'dacarbazine', 'ipilimumab']",3,0,1,0,0.75
es-S0376-78922009000400002-1,['physiological saline solution'],['physiological saline solution'],1,0,0,0,1.0
es-S0365-66912004001100011-1,"['amphotericin b', 'tobramycin', 'itraconazole', 'mg', 'cefazolin', 'brimonidine', 'aceclofenac', 'voriconazole']","['amphotericin b', 'tobramycin', 'itraconazole', 'cefazolin', 'brimonidine', 'aceclofenac', 'voriconazole']",7,0,1,0,0.875
es-S0212-16112012000600045-1,"['fosfomycin', 'albumin', 'ciprofloxacin', 'magnesium', 'phosphate']","['ciprofloxacin', 'fosfomycin']",2,0,3,0,0.4
es-S0211-69952009000500017-1,"['enalapril', 'mg', 'glucose', 'p', 'losartan']","['enalapril', 'losartan']",2,0,3,0,0.4
es-S1130-01082010000700016-1,"['midazolam', 'piperacillin-tazobactam', 'remifentanil', 'propofol']","['piperacillin', 'tazobactam', 'midazolam', 'remifentanil', 'propofol']",3,0,1,2,0.5
es-S0211-57352013000300012-1,"['mg', 'gh', 'sertraline', 'growth hormone']","['gh', 'sertraline', 'growth hormone']",3,0,1,0,0.75
es-S1130-01082009001000013-1,"['sucralfate', 'apc', 'formalin', '5-aminosalicylic acid']","['sucralfate', 'apc', 'formalin', '5-aminosalicylic acid']",4,0,0,0,1.0
es-S0210-48062007000400012-1,"['bcg', 'mg', 'carboplatin', 'taxol', 'lactulose']","['carboplatin', 'taxol', 'lactulose']",3,0,2,0,0.6
S0004-06142007000200017-1,['carboplatin'],['carboplatin'],1,0,0,0,1.0
es-S1130-05582008000400007-2,"['betamethasone', 'mg']",['betamethasone'],1,0,1,0,0.5
es-S1130-63432015000500008-1,"['interferon-beta', 'fingolimod', 'natalizumab', 'mmc']","['interferon-beta', 'fingolimod', 'natalizumab']",3,0,1,0,0.75
es-S1699-65852010000300002-1,"['chlorhexidine', 'phosphate', 'ibuprofen', 'amoxicillin + clavulanic acid']","['clavulanic acid', 'chlorhexidine', 'amoxicillin', 'ibuprofen']",2,0,2,2,0.3333333333333333
es-S0210-56912008000400007-4,['labetalol'],['labetalol'],1,0,0,0,1.0
es-S1135-76062003000400006-1,"['solinitrin', 'zantac', 'aspirin', 'streptokinase']","['solinitrin', 'zantac', 'aspirin', 'streptokinase']",4,0,0,0,1.0
es-S1130-01082009000400011-1,"['mg', 'acetylsalicylic acid', 'enalapril', 'insulin']","['acetylsalicylic acid', 'enalapril']",2,0,2,0,0.5
es-S0211-69952013000700025-1,"['prednisone', 'immunoglobulin', 'cyclophosphamide', 'amlodipine', 'cyclosporin a', 'mycophenolate mofetil', 'hydrochlorothiazide', 'ramipril', 'irbesartan', 'mycophenolate', 'tacrolimus', 'doxazosin', 'mg', 'atenolol']","['prednisone', 'cyclophosphamide', 'amlodipine', 'cyclosporin a', 'mycophenolate mofetil', 'hydrochlorothiazide', 'ramipril', 'irbesartan', 'mycophenolate', 'tacrolimus', 'doxazosin', 'atenolol']",12,0,2,0,0.8571428571428571
es-S0376-78922007000400008-1,"['penicillin', 'furosemide', 'alcohol', 'clindamycin', 'mg', 'k', 'ciprofloxacin', 'gentamycin']","['penicillin', 'furosemide', 'clindamycin', 'ciprofloxacin', 'gentamycin']",5,0,3,0,0.625
es-S0212-71992007000100007-1,"['chlorine', 'phosphorus', 'immunoglobulin', 'calcium', 'penicillin', 'amoxicillin + clavulanic acid', 'mg', 'potassium', 'sodium', 'glucose']","['penicillin', 'amoxicillin + clavulanic acid']",2,0,8,0,0.2
es-S0376-78922016000300010-1,"['cefazolin', 'mg', 'acetylsalicylic acid', 'ketoprofen']","['cefazolin', 'acetylsalicylic acid', 'ketoprofen']",3,0,1,0,0.75
es-S0365-66912010000600004-1,['heparin'],['heparin'],1,0,0,0,1.0
es-S0365-66912006001000011-1,"['naproxen', 'sulfacetamide', 'ampicillin', 'dicloxacillin']","['naproxen', 'sulfacetamide', 'ampicillin', 'dicloxacillin']",4,0,0,0,1.0
es-S0211-69952014000100016-1,"['prednisone', 'amoxicillin', 'liposomal amphotericin b', 'posaconazole', 'mycophenolate mofetil', 'mycophenolate', 'tacrolimus', 'mg', 'methylprednisolone', 'k', 'linezolid', 'meropenem', 'cyclosporine']","['prednisone', 'amoxicillin', 'liposomal amphotericin b', 'posaconazole', 'mycophenolate mofetil', 'mycophenolate', 'tacrolimus', 'methylprednisolone', 'linezolid', 'meropenem', 'cyclosporine']",11,0,2,0,0.8461538461538461
es-S0365-66912006001100007-1,"['ciprofloxacin', 'dexamethasone']","['ciprofloxacin', 'dexamethasone']",2,0,0,0,1.0
es-S0210-56912011000700007-1,"['allopurinol', 'mitomycin', 'ciclosporin a']","['allopurinol', 'mitomycin', 'ciclosporin a']",3,0,0,0,1.0
